rank,pH,inoculum_pct,pulp_density_pct,glycine_mol_L,substrate_ratio,E_max,k,t_half,r2_fit
1,9,6.67,0.33,0.133,0.5,54.217373282103146,0.08548775160989479,18.58655561674331,0.9309046745875293
2,9,6.67,0.33,0.133,0.25,46.55621104851949,0.11034270037340525,15.757441039313834,0.9127248732762736
3,9,6.67,0.33,0.133,0.125,45.96037444576728,0.10641226653877976,17.10476763544641,0.9631599927227542
4,9,6.67,0.33,0.133,0.1,40.81852633080409,0.17683791218665873,10.586425039295001,0.9581474011715486
5,9,6.67,0.67,0.133,0.25,28.65853525760584,0.114678938183985,15.431243829883051,0.9433455557561754
6,9,3.33,1.0,0.133,0.25,28.028027327476472,0.09970723672217983,15.37201064856102,0.9177464247366108
7,9,6.67,1.0,0.133,0.25,27.95604865825089,0.10993921938305268,17.221552316104688,0.8672597235921445
8,9,6.67,1.0,0.067,0.25,27.736400178851813,0.10285456524583168,18.997026861562947,0.9676169548770291
9,7,6.67,1.0,0.133,0.25,25.311637465116636,0.06905559780045949,27.26010444321036,0.9469171949282836
10,9,0.67,1.0,0.133,0.25,23.658693287072417,0.11499222698653487,14.578510389319272,0.916616179615828
11,8,6.67,1.0,0.133,0.25,22.868402784813096,0.09266881000277913,17.769082835343507,0.9321108568541548
12,9,6.67,1.0,0.267,0.25,22.64632871872871,0.12193791636379217,21.75495410293241,0.9883166798090518
13,9,6.67,1.0,0.013,0.25,21.637787631590527,0.09025286353913321,22.155855487084384,0.9604987411548106
14,9,13.33,1.0,0.133,0.25,21.380114937202382,0.3965050880184617,6.455499588026963,0.889177465515901
15,9,6.67,1.33,0.133,0.25,17.787745759612623,0.12951170777601373,13.795622055669483,0.9414518015546436
16,9,6.67,1.67,0.133,0.25,14.181578981645085,0.2128474530425695,12.57276095783155,0.9910956041243978
